timestamp,close,volume
,5551.5,4169122
,5541,7014413
,5538.5,11005706
,5536.5,3628508
,5531,8451424
,5539.5,9077985
,5540.5,4459593
,5533.5,5564985
,5528,6472152
,5520,8522112
,5515,24434588
,5524,6805683
,5521,3510993
,5528.5,9197157
,5531,4312002
,5535,4720496
,5531.5,6071089
,5536,4513377
,5541.5,3339928
,5539.5,6279888
,5539.5,3452631
,5537.5,2399011
,5536.5,1128989
,5544.5,5403742
,5552,13380769
,5547,4704363
,5545.5,12477578
,5537.5,9189307
,5540.5,6033730
,5543.5,1829838
,5541,1322534
,5539,2350285
,5535,6151200
,5538,3800679
,5548,9701478
,5555,10912597
,5554.5,3747680
,5550,4259199
,5546,4933227
,5557.5,7142974
,5557.5,3865583
,5559,2490109
,5558,7641312
,5559.5,2875856
,5566.5,19608261
,5566,11750699
,5571,26740428
,5566,10112951
,5568,6432930
,5562.5,5091269
,5555,8721862
,5561.5,5552500
,5558,3274563
,5565.5,4991582
,5567.5,2776490
,5576,10257029
,5572.5,19425941
,5579.5,7416548
,5590,12670062
,5585.5,9082242
,5579,10733105
,5570.5,4812482
,5578,5839686
,5572,5007708
,5571.5,4859629
,5569.5,5470424
,5566,8246504
,5569,2148996
,5566.5,5279273
,5575.5,5681534
,5581.5,11620566
,5582,3348863
,5578.5,3401635
,5574.5,7409562
,5572,3387616
,5576.5,4329808
,5581,3829741
,5578.5,5205473
,5570.5,7822823
,5563.5,20112872
,5558,24194022
,5553.5,8445119
,5556.5,4514403
,5557,4587547
,5562.5,6787085
,5560,5505798
,5563.5,3469922
,5557,3288636
,5555,3353332
,5551.5,3773700
,5547.5,5234587
,5554,6041835
,5565.5,7825494
,5570,6625629
,5572.5,3110304
,5564.5,11248453
,5566.5,1297207
,5569.5,1512480
,5564,5044890
,5568,1822349
,5576.5,7340360
,5589,14880662
,5584.5,10514201
,5592.5,30111107
,5597.5,14565202
,5597.5,13752922
,5604.5,14778020
,5593.5,18562764
,5586.5,15978526
,5580.5,6169245
,5594,14002971
,5594.5,3869342
,5591.5,6032543
,5595,4040115
,5593.5,2193536
,5593.5,3949289
,5590.5,2919059
,5586.5,6571297
,5591,2187902
,5604,7817886
,5601,4005732
,5600,7994253
,5595.5,4351860
,5592,5781149
,5590.5,4864471
,5590.5,2960417
,5585.5,4448357
,5582.5,20581419
,5577,9730709
,5575,12311752
,5579,3873957
,5580.5,1925588
,5584,2321209
,5585.5,2919713
,5579,3094457
,5573,5052105
,5579,3360360
,5579.5,3866998
,5577,925317
,5573,5220920
,5575.5,4392646
,5562,8221523
,5560,12859330
,5563.5,6434299
,5573,12777511
,5578,2803338
,5573.5,3370183
,5571.5,1086413
,5571.5,1146414
,5572.5,2156905
,5572.5,514031
,5577.5,2935202
,5575,2903056
,5569.5,2107549
,5572.5,1856668
,5569.5,2044733
,5567,3074723
,5565.5,2116393
,5561.5,3292002
,5539.5,35988272
,5548,18855380
,5537.5,16607682
,5533.5,8020346
,5523,18643564
,5531,23938709
,5529,5429346
,5538,10883183
,5552.5,8765534
,5554.5,6939300
,5555,8678302
,5556,6393223
,5557.5,2927830
,5554.5,6331767
,5550,1137911
,5550.5,3617523
,5544,2944759
,5538.5,4775253
,5537,11049315
,5540.5,5051904
,5542,2977065
,5545,2237260
,5529.5,8163586
,5543,7613756
,5546,8758257
,5550.5,3830582
,5553.5,2536423
,5551.5,2574720
,5547,4778581
,5542.5,4073586
,5540,7987039
,5537,4744574
,5541.5,6272365
,5536.5,1548095
,5536,1847215
,5533,7365133
,5532,17865583
,5522.5,24583433
,5492.5,40520537
,5516,31305580
,5520.5,19049455
,5526,13217607
,5528,10666364
,5551.5,22315104
,5553.5,9935948
,5552.5,10877979
,5547.5,8618990
,5545.5,5483345
,5552,2775470
,5556,5929607
,5550,6578583
,5556,5361192
,5552,4015005
,5548,4353094
,5547,1745294
,5548.5,1935782
,5553.5,2298401
,5555.5,2512643
,5555,1478218
,5559.5,7338965
,5564,2663740
,5559.5,2827599
,5561.5,1165530
,5563,696661
,5566.5,5091859
,5580,13976913
,5581.5,9920268
,5577,6395414
,5579,4112640
,5575.5,2011079
,5575,1622029
,5568,5806560
,5567.5,3694660
,5580,6839060
,5596,46736608
,5600,20784351
,5596.5,12893432
,5594,3939447
,5594.5,4270914
,5593,5118919
,5600.5,5608836
,5598,3291851
,5593,7338210
,5595,5271908
,5593.5,2954589
,5585.5,10561911
,5577.5,16155070
,5583,8542528
,5584,1381439
,5593.5,4249243
,5595.5,3913231
,5597,6704699
,5594,3575905
,5593.5,4678202
,5598,13267628
,5598.5,29252007
,5611.5,10219074
,5615,9866501
,5610,7099215
,5602.5,7335567
,5613,6086825
,5598.5,6262776
,5602.5,2994007
,5597,2814629
,5589,12400935
,5594,7680220
,5590.5,2379162
,5596.5,4692251
,5595.5,1973870
,5590.5,3100049
,5586.5,4951980
,5583.5,5074014
,5576,10386882
,5572,14121369
,5561,34999291
,5553.5,39187919
,5466,121667551
,5473.5,55022219
,5463.5,31074516
,5475,14959572
,5466,22144273
,5444,48220271
,5462,27314537
,5464.5,21676608
,5472,11763841
,5457,22410412
